,Rooms,Price,Total Space,Living Space,Kitchen Space,City center distance,Metro distance,Walk,Telephone,Balcon,Floor,Floor Number,Market Type
0,2,37500000.0,64.0,44.0,8.0,3.270198546392179,2.0,1.0,0.0,0.0,3.0,11.0,0.0
1,3,76483680.0,95.0,65.0,2.0,4.611823729064457,10.0,1.0,1.0,0.0,3.0,5.0,0.0
2,3,23000000.0,62.0,41.0,7.0,1.3493257708447401,6.0,1.0,1.0,0.0,2.0,3.0,0.0
3,1,4403057.0,22.0,22.0,1.0,4.079333572472215,6.0,1.0,1.0,1.0,3.0,22.0,0.0
4,1,4585315.0,17.0,17.0,1.0,4.079333572472215,6.0,1.0,1.0,1.0,2.0,17.0,0.0
5,1,4814581.0,17.0,10.0,1.0,4.079333572472215,6.0,1.0,1.0,0.0,2.0,5.0,0.0
6,1,4814581.0,17.0,17.0,1.0,4.126903486073463,5.0,1.0,0.0,1.0,2.0,6.0,0.0
7,5,332704008.0,261.0,160.0,3.0,1.28855900165956,5.0,1.0,0.0,0.0,3.0,7.0,0.0
8,1,5377566.0,18.0,10.0,1.0,4.079333572472215,6.0,1.0,1.0,0.0,5.0,5.0,0.0
9,1,5377566.0,18.0,18.0,1.0,4.079333572472215,6.0,1.0,1.0,1.0,5.0,18.0,0.0
10,1,5496232.0,23.0,23.0,1.0,4.126903486073463,5.0,1.0,0.0,1.0,2.0,6.0,0.0
11,1,5300000.0,32.0,20.0,7.0,4.250155997503762,4.0,1.0,1.0,0.0,1.0,9.0,0.0
12,1,5550000.0,37.0,20.0,9.0,4.9785121561504235,10.0,1.0,0.0,0.0,1.0,1.0,0.0
13,5,369725296.0,291.0,157.0,3.0,1.28855900165956,5.0,1.0,0.0,0.0,2.0,7.0,0.0
14,1,5999000.0,30.0,16.0,6.0,6.0977345094656545,0.0,0.0,1.0,0.0,3.0,5.0,0.0
15,1,6000000.0,32.0,20.0,6.0,5.188325132583057,10.0,1.0,0.0,0.0,5.0,5.0,0.0
16,1,6000000.0,35.0,20.0,10.0,6.058362842223083,13.0,1.0,0.0,0.0,1.0,12.0,0.0
17,1,6000000.0,35.0,20.0,9.0,4.000198465306583,0.0,0.0,1.0,0.0,12.0,12.0,0.0
18,1,6100000.0,34.0,21.0,8.0,4.25501143115856,12.0,1.0,1.0,0.0,2.0,5.0,0.0
19,1,6100000.0,36.0,20.0,10.0,4.000198465306583,10.0,1.0,1.0,0.0,12.0,12.0,0.0
20,1,6258687.0,25.0,15.0,1.0,4.079333572472215,6.0,1.0,1.0,0.0,4.0,4.0,0.0
21,1,6300000.0,35.0,18.0,8.0,4.928608396776192,0.0,0.0,1.0,1.0,1.0,4.0,0.0
22,1,6325576.0,30.0,17.0,1.0,4.079333572472215,6.0,1.0,1.0,0.0,3.0,4.0,0.0
23,1,6325576.0,29.0,29.0,1.0,4.101181851472022,5.0,1.0,0.0,1.0,3.0,6.0,0.0
24,1,6437035.0,33.0,18.0,1.0,4.079333572472215,6.0,1.0,1.0,0.0,3.0,4.0,0.0
25,1,6449418.0,28.0,16.0,1.0,4.079333572472215,6.0,1.0,1.0,0.0,4.0,4.0,0.0
26,1,6467402.0,28.0,28.0,1.0,4.079333572472215,6.0,1.0,1.0,1.0,3.0,28.0,0.0
27,1,6500000.0,36.0,20.0,6.0,6.129745685231975,11.0,1.0,1.0,0.0,2.0,5.0,0.0
28,2,60993000.0,67.0,44.0,5.0,1.320487072696269,1.0,1.0,1.0,1.0,3.0,6.0,0.0
29,4,140220080.0,200.0,85.0,20.0,3.052875233954744,0.0,0.0,0.0,1.0,22.0,22.0,0.0
30,3,96390000.0,153.0,0.0,1.0,2.3437680518296795,5.0,1.0,1.0,0.0,6.0,9.0,0.0
31,1,6577730.0,28.0,28.0,1.0,4.079333572472215,6.0,1.0,1.0,1.0,4.0,28.0,0.0
32,1,6600000.0,34.0,18.0,10.0,6.335561544717139,10.0,1.0,1.0,0.0,2.0,12.0,0.0
33,1,6600000.0,33.0,20.0,5.0,4.431176102547718,5.0,1.0,0.0,0.0,5.0,9.0,0.0
34,2,6600000.0,33.0,18.0,6.0,4.431176102547718,5.0,1.0,0.0,0.0,5.0,9.0,0.0
35,1,6800000.0,27.0,17.0,5.0,5.0643260388483755,10.0,1.0,0.0,1.0,4.0,5.0,0.0
36,1,6800000.0,31.0,19.0,7.0,4.88576751137642,15.0,1.0,0.0,0.0,4.0,5.0,0.0
37,1,6850000.0,32.0,17.0,8.0,4.108880378301199,9.0,1.0,0.0,0.0,9.0,12.0,0.0
38,1,6900000.0,34.0,19.0,9.0,2.682218423183688,5.0,1.0,0.0,0.0,3.0,16.0,0.0
39,1,6934500.0,34.0,0.0,1.0,2.682218423183688,5.0,1.0,0.0,0.0,8.0,16.0,0.0
40,1,7000000.0,36.0,20.0,10.0,3.9796680025592592,15.0,1.0,0.0,0.0,4.0,12.0,0.0
41,2,7000000.0,35.0,22.0,5.0,4.467384874053884,10.0,1.0,0.0,0.0,2.0,9.0,0.0
42,1,7007958.0,31.0,31.0,1.0,4.079333572472215,6.0,1.0,1.0,1.0,2.0,31.0,0.0
43,2,7021000.0,41.0,27.0,3.0,4.199783454105702,0.0,0.0,1.0,0.0,5.0,19.0,0.0
44,2,7050000.0,34.0,22.0,6.0,4.467384874053884,16.0,1.0,0.0,0.0,5.0,9.0,0.0
45,1,7079400.0,34.0,19.0,9.0,2.682218423183688,5.0,1.0,0.0,0.0,8.0,16.0,0.0
46,1,7189943.0,30.0,30.0,1.0,4.079333572472215,6.0,1.0,1.0,1.0,4.0,30.0,0.0
47,1,7200000.0,31.0,18.0,6.0,4.325030374328131,4.0,1.0,0.0,1.0,2.0,9.0,0.0
48,1,7200000.0,35.0,20.0,9.0,4.872662840983983,10.0,1.0,0.0,0.0,10.0,12.0,0.0
49,1,7200000.0,27.0,25.0,1.0,5.0643260388483755,12.0,1.0,0.0,0.0,4.0,5.0,0.0
50,1,7200000.0,32.0,19.0,6.0,4.499356741907424,15.0,1.0,0.0,0.0,3.0,9.0,0.0
51,1,7220153.0,33.0,33.0,1.0,4.101181851472022,5.0,1.0,0.0,1.0,3.0,6.0,0.0
